id,name,country,lon,lat,timezone,dt (UTC),sunrise (UTC),sunset (UTC),weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,clouds_all,visibility
1880252,Singapore,SG,103.8519,1.2899,8.0,2025-11-15 06:04:13,2025-11-14 22:47:29,2025-11-15 10:51:02,802,Clouds,scattered clouds,03d,30.35,36.17,29.5,30.97,1009,71,1009,1008,6.17,20,,,,40,10000
1608132,Nonthaburi,TH,100.4935,13.7525,7.0,2025-11-15 06:07:37,2025-11-14 23:17:49,2025-11-15 10:47:34,801,Clouds,few clouds,02d,30.71,31.61,28.95,31.08,1013,47,1013,1012,3.63,28,4.18,,,16,10000
1631845,Pecenongan,ID,106.8283,-6.1805,7.0,2025-11-15 05:59:35,2025-11-14 22:25:33,2025-11-15 10:49:10,802,Clouds,scattered clouds,03d,32.9,39.9,31.7,33.14,1009,68,1009,1006,2.57,330,,,,40,7000
1733046,Kuala Lumpur,MY,101.6942,3.1517,8.0,2025-11-15 06:07:30,2025-11-14 22:58:36,2025-11-15 10:57:11,804,Clouds,overcast clouds,04d,32.5,39.5,32.5,33.16,1009,77,1009,995,0.57,221,0.38,,,97,4311
1688216,Santa Cruz,PH,120.9783,14.5949,8.0,2025-11-15 06:07:38,2025-11-14 21:57:02,2025-11-15 09:24:27,804,Clouds,overcast clouds,04d,30.05,36.44,29.49,31.7,1010,75,1010,1012,6.37,96,8.04,,,99,10000
1561096,Xom Pho,VN,105.85,21.03,7.0,2025-11-15 06:03:10,2025-11-14 23:06:58,2025-11-15 10:15:34,800,Clear,clear sky,01d,25.97,25.97,25.97,25.97,1018,46,1018,1017,3.16,1,3.62,,,0,10000
1566083,Ho Chi Minh City,VN,106.7018,10.7758,7.0,2025-11-15 06:04:45,2025-11-14 22:48:51,2025-11-15 10:26:52,801,Clouds,few clouds,02d,32.21,38.21,30.95,32.21,1009,62,1009,1009,3.6,110,,,,20,10000
5128581,New York,US,-74.006,40.7127,-5.0,2025-11-15 06:04:04,2025-11-15 11:43:13,2025-11-15 21:38:21,800,Clear,clear sky,01n,7.47,4.37,4.21,8.45,1014,53,1014,1012,5.14,290,10.29,,,0,10000
5368361,Los Angeles,US,-118.2428,34.0537,-8.0,2025-11-15 06:07:39,2025-11-14 14:25:05,2025-11-15 00:50:04,701,Mist,mist,50n,16.99,17.17,16.12,17.97,1014,93,1014,994,4.63,190,,,,100,4828
4887398,Chicago,US,-87.6244,41.8756,-6.0,2025-11-15 06:07:39,2025-11-15 12:40:32,2025-11-15 22:30:00,803,Clouds,broken clouds,04n,16.3,16.18,15.55,17.29,1006,84,1006,985,4.63,210,,,,75,10000
